name,geometry
RAF Museum,"POLYGON ((-0.2412702 51.5973029, -0.2408547 51.5977741, -0.240833 51.597798, -0.2408164 51.5977928, -0.2400717 51.5986048, -0.240045 51.5986363, -0.2400183 51.5986677, -0.23957 51.5993104, -0.2395942 51.5993159, -0.2395624 51.599369, -0.2395125 51.5994523, -0.2394617 51.5995617, -0.2394173 51.5996629, -0.2392928 51.5997383, -0.238872 51.5998006, -0.2379112 51.5999197, -0.2377873 51.5996495, -0.2376871 51.5995371, -0.2376387 51.5993955, -0.2376047 51.5993119, -0.2375803 51.5993145, -0.2375725 51.5992912, -0.2375967 51.5992881, -0.2372798 51.5983865, -0.2372996 51.598227, -0.2371034 51.597463, -0.2370249 51.5974621, -0.2369902 51.5972987, -0.2369547 51.5968572, -0.236933 51.5963096, -0.2369352 51.5960419, -0.2383563 51.5960751, -0.2385306 51.5960792, -0.2386739 51.5960809, -0.2386714 51.5961311, -0.2386602 51.5964995, -0.2386441 51.5966614, -0.2399598 51.5967055, -0.23983 51.5970061, -0.2410579 51.5972051, -0.2412702 51.5973029))"
Apsley House,"POLYGON ((-0.1518624 51.5033171, -0.1517359 51.5033429, -0.1517277 51.5033279, -0.151557 51.5033654, -0.151567 51.5033831, -0.1514429 51.5034104, -0.1514515 51.5034256, -0.1514318 51.5034291, -0.1515008 51.5035113, -0.1514307 51.5035272, -0.1515054 51.5036584, -0.1516622 51.5036231, -0.1516384 51.5035797, -0.1518232 51.5035412, -0.1518466 51.5035842, -0.1519942 51.503555, -0.1518624 51.5033171))"
Wimbledon Lawn Tennis Museum,"POLYGON ((-0.2134849 51.4350252, -0.2136582 51.4349747, -0.2136882 51.4349645, -0.2137077 51.4349561, -0.2137245 51.434942, -0.2137318 51.4349335, -0.2137379 51.434921, -0.2137413 51.4349078, -0.2137439 51.4348905, -0.2137412 51.4348746, -0.2137326 51.4348609, -0.2134627 51.4345372, -0.2134421 51.4345172, -0.2134173 51.4345019, -0.2133979 51.4344929, -0.2133711 51.4344837, -0.2133442 51.4344794, -0.2133228 51.4344795, -0.2132911 51.4344826, -0.2132611 51.4344904, -0.2132356 51.4345, -0.2132068 51.4345155, -0.2131945 51.4345284, -0.2131089 51.4345541, -0.2132371 51.4347147, -0.2132545 51.4347092, -0.2134179 51.4349139, -0.2134004 51.4349193, -0.2134849 51.4350252))"
Royal Institution and Faraday Museum,"POLYGON ((-0.1426672 51.5099293, -0.1423174 51.5095918, -0.1421033 51.5096726, -0.1422569 51.5098248, -0.1422338 51.5098341, -0.1423407 51.5099297, -0.1424089 51.5099907, -0.1424387 51.5100173, -0.1426672 51.5099293))"
Sambourne House,"POLYGON ((-0.1969661 51.5005262, -0.1968848 51.5005551, -0.1967824 51.5004435, -0.1968645 51.5004141, -0.1969661 51.5005262))"
The Musical Museum,"POLYGON ((-0.2933646 51.4879192, -0.2931053 51.488007, -0.2930074 51.4878949, -0.2929719 51.487907, -0.2929037 51.4878288, -0.2932067 51.4877263, -0.2932535 51.4877798, -0.2932899 51.4877675, -0.2933345 51.4878186, -0.2932899 51.4878337, -0.2933646 51.4879192))"
Battle of Britain Bunker - RAF Uxbridge,"POLYGON ((-0.4642757 51.5413057, -0.4643463 51.5414082, -0.464611 51.5414149, -0.4647106 51.5414207, -0.4648446 51.5416521, -0.4651348 51.5416111, -0.4656312 51.5415755, -0.4657351 51.5414544, -0.4657825 51.5410046, -0.4656554 51.5407421, -0.4654761 51.5403517, -0.4645345 51.5401134, -0.4641307 51.5399534, -0.4640238 51.5401022, -0.4640506 51.5402216, -0.4640822 51.5403624, -0.4641282 51.5405053, -0.4641511 51.5405764, -0.4641543 51.5406028, -0.464171 51.5411603, -0.4642757 51.5413057))"
The Brown Collection,"POLYGON ((-0.1505447 51.517385, -0.1505261 51.5173442, -0.1505188 51.5173282, -0.1504683 51.5173371, -0.150379 51.5173528, -0.1504049 51.5174097, -0.1505447 51.517385))"
London Museum Docklands,"POLYGON ((-0.0236663 51.5077492, -0.0236622 51.5077637, -0.0234834 51.5077443, -0.0233434 51.5077291, -0.0233474 51.5077146, -0.0234373 51.5073939, -0.0234407 51.5073818, -0.0236097 51.5074001, -0.0237595 51.5074164, -0.0237561 51.5074285, -0.024078 51.5074634, -0.0240746 51.5074768, -0.0244011 51.5075122, -0.0243896 51.5075537, -0.0243254 51.5077864, -0.0243198 51.5078067, -0.0240014 51.5077721, -0.023998 51.5077852, -0.0238436 51.5077684, -0.0236663 51.5077492))"
Honeywood House,"POLYGON ((-0.1652925 51.3652724, -0.1652549 51.3652236, -0.1652029 51.3652393, -0.1651881 51.36522, -0.165204 51.3652153, -0.1651799 51.3651837, -0.16516 51.3651896, -0.1651506 51.3651772, -0.165191 51.3651653, -0.1651495 51.3651101, -0.1651044 51.3651233, -0.1650876 51.3651009, -0.1650234 51.3651197, -0.1650384 51.3651398, -0.1649923 51.3651532, -0.1649816 51.3651389, -0.1649443 51.3651498, -0.1649542 51.3651631, -0.1649076 51.3651766, -0.164921 51.3651945, -0.1649143 51.3652029, -0.1649223 51.3652171, -0.1649411 51.3652213, -0.1649521 51.3652339, -0.164974 51.3652265, -0.1649831 51.3652369, -0.1649805 51.3652444, -0.1649934 51.3652581, -0.1650068 51.365259, -0.1650158 51.3652705, -0.1650319 51.3652656, -0.1650547 51.3652949, -0.1650412 51.365299, -0.1650811 51.3653503, -0.16527 51.365293, -0.1652614 51.3652818, -0.1652925 51.3652724))"
Sir Keith Park Operations Building,"POLYGON ((-0.4145034 51.557679, -0.4140356 51.5577925, -0.4139724 51.5576919, -0.4141938 51.5576382, -0.4141803 51.5576166, -0.4142696 51.557595, -0.4142834 51.5576169, -0.4143688 51.5575962, -0.4143603 51.5575826, -0.4144319 51.5575652, -0.4145034 51.557679))"
London Fire Brigade Pop-up Museum,"POLYGON ((-0.1203046 51.4928813, -0.1190493 51.4926574, -0.1191351 51.4924893, -0.1192247 51.4925018, -0.1192833 51.4923774, -0.1193715 51.4923906, -0.1194146 51.4922931, -0.1204982 51.4924834, -0.1204906 51.4924989, -0.1203046 51.4928813))"
Dairy Wing,"POLYGON ((0.0659847 51.5721934, 0.0662285 51.5721575, 0.0662069 51.5721009, 0.0659631 51.5721369, 0.0659847 51.5721934))"
